data,km_marco_m,faixa,classe,arquivo
2026-03-13,500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,1000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,1500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,2000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,2500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,3000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,3500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,4000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,4500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,5000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,5500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,6000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,6500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,7000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,7500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,8000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,8500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,9000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,9500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,10000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,10500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,11000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,11500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,12000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,12500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,13000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,13500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,14000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,14500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,15000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,15500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,16000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,16500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,17000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,17500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,18000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,18500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,19000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,19500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,20000,cant_marginal_externa,1,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,20500,cant_marginal_externa,1,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
